Account / 账号,Nickname / 昵称,Screenshot Name / 截图名称,Rank in Account / 账号内排序,Drama ID / 短剧ID,English Title / 英文剧名,Chinese Title / 中文剧名,Publish Time / 发布时间,Episodes / 集数,Views / 观看数,Duration Seconds / 总时长(秒),Duration Minutes / 总时长(分钟),Limited Free / 是否限免,English Themes / 英文题材,Chinese Themes / 中文题材,English Description Preview / 英文简介预览,Chinese Description / 中文简介,Description Truncated / 简介是否截断,Source Profile URL / 来源主页
aidramalabs_pulse0,Shape of Desire,Shape of Desire,137,ID 7643329133115626513,Lethal Heartbeats,致命的心跳,2026-06-01 09:29:51,41,777432,2539,42.3,是 / Yes,Survival、Revenge、Contract Lovers,生存、复仇、合约爱好者,Lethal Heartbeats,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,138,ID 7645885375198368789,Twenty Inches Apart,相距二十英寸,2026-06-02 15:39:46,40,41619404,3316,55.3,是 / Yes,Sports、Enemies to Lovers,运动的、从敌人到恋人,Twenty Inches Apart,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,139,ID 7643082168025125905,His Ex Came Back Hotter And Deadlier,他的前任回来后变得更加性感和致命,2026-06-01 11:59:37,20,1000372,1431,23.9,是 / Yes,Mistaken Identities、Family Feud、Business Competition,错误的身份、家庭恩怨、商业竞赛,"Sloane, a wealthy heiress, loses everything after being framed by her fiancé and best friend. Three years later, she returns as Wren to seek revenge, gets involved with Kade, and finally brings down her enemies, but a new crisis emerges.",,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,140,ID 7650348793766073351,A Golden Cage,金色的笼子,2026-06-12 11:45:00,30,14674077,2415,40.2,是 / Yes,Married Life、Family Feud、Reconciliation,婚姻生活、家庭恩怨、和解,A Golden Cage,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,141,ID 7647854039715599381,Dead by Morning: My Husband's 7-Day Kill List,清晨死亡：我丈夫的 7 天杀戮名单,2026-06-07 16:47:39,20,813504,1280,21.3,是 / Yes,Mystery、Family Feud、dark romance,神秘、家庭恩怨、黑暗浪漫,"She found a kill list in her perfect husband's safe — six names crossed off, and hers is the seventh. She has seven days. The only man willing to help her is the one her husband trusts most. But the dead names on that list aren't all dead.",,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,142,ID 7647854025270285332,The Maid’s Daughter Stole My Mansion,女仆的女儿偷了我的豪宅,2026-06-08 16:19:10,50,169808592,4137,69.0,是 / Yes,Family Disputes、Family Feud、Master-Servant Love,家庭纠纷、家庭恩怨、主仆之爱,The Maid’s Daughter Stole My Mansion,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,143,ID 7650348139148399634,My Roommate Is A Male Model,我的室友是男模特,2026-06-12 11:46:03,29,47680633,2074,34.6,是 / Yes,City、Romantic Complications,城市、浪漫并发症,She moved in to save rent. He opened the door in a towel. Now Manhattan's coldest law intern is losing every single moral argument—one bathroom at a time.,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,144,ID 7647771755997844500,Revenge Of The Mother Of Roots,根之母的复仇,2026-06-07 13:00:11,51,351410,4934,82.2,是 / Yes,Fantasy、Adventure、Lost Child,奇幻、冒险、丢失的孩子,Revenge Of The Mother Of Roots,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,145,ID 7650101342576808967,They Said I Flirted With a Superstar,他们说我和一个超级巨星调情,2026-06-12 09:14:16,45,539046,3501,58.4,是 / Yes,Family & Ethics、Lost Child、Celebrity,家庭与道德、丢失的孩子、名人,They Said I Flirted With a Superstar,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,146,ID 7643256988717274120,Wall Street Kiss: The Tycoon's Contract Bride,华尔街之吻：大亨的契约新娘,2026-06-01 03:40:19,30,21955672,2023,33.7,是 / Yes,Family Feud、Contract Lovers、Family & Ethics,家庭恩怨、合约爱好者、家庭与道德,Wall Street Kiss: The Tycoon's Contract Bride,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,147,ID 7650348715286238215,The Roommate Agreement,室友协议,2026-06-12 11:46:31,34,18803812,2617,43.6,是 / Yes,Contract Lovers、Romantic Complications,合约爱好者、浪漫并发症,The Roommate Agreement,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,148,ID 7650348911928120328,My Ex Returns With His Twin Brother,我的前任带着他的双胞胎兄弟回来了,2026-06-12 11:44:08,30,493458,2448,40.8,是 / Yes,Reconciliation、Romantic Complications、City,和解、浪漫并发症、城市,"Three years after he left her, he came back on his knees—with a twin brother she never knew existed, who pinned her against the oven and whispered, ""What he threw away, I'm taking back.""",,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,149,ID 7644617726186935317,"His Ring, Her Ruin",他的戒指，她的毁灭,2026-06-01 03:07:24,20,4890097,1297,21.6,是 / Yes,Revenge、City、Love Triangle,复仇、城市、三角恋,"A gifted jewelry designer is destroyed by her cheating boyfriend and best friend until a hidden billionaire helps her reclaim her talent, her power, and her revenge.",,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,150,ID 7645787628319347733,The Little Merman,小人鱼,2026-06-01 05:44:28,30,3043585,1835,30.6,是 / Yes,Love Triangle、Romantic Complications、Fantasy,三角恋、浪漫并发症、奇幻,The Little Merman,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,151,ID 7640406854308566036,The Ex-Con Queen's Revenge,有犯罪前科的女王的复仇,2026-05-18 00:00:28,10,837432,594,9.9,是 / Yes,Love Triangle、Family Feud、Revenge,三角恋、家庭恩怨、复仇,The Ex-Con Queen's Revenge,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,152,ID 7643298187423388679,The Beast King Wants Me As His Bride,兽王想要我做他的新娘,2026-05-31 10:19:13,19,805365,1691,28.2,是 / Yes,Mistaken Identities、Fantasy、Romantic Complications,错误的身份、奇幻、浪漫并发症,"A hot girl crashes into a cursed forest where a beast king with eight legs desperately needs her kiss to break his thousand-year spell — but every time their lips get close, the curse fights back, and the dark truth is: he chose this punishment because of a woman who looked exactly like her.",,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,153,ID 7639314190527861776,Pregnant and Banished: The Tycoon's Return,怀孕与放逐：大亨归来,2026-05-14 09:52:55,10,57119631,597,9.9,是 / Yes,Revenge、Family Feud,复仇、家庭恩怨,Pregnant and Banished: The Tycoon's Return,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,154,ID 7645823661265409045,She Called Me a Homewrecker,她称我为家庭破坏者,2026-05-31 22:35:50,32,4726722,2366,39.4,是 / Yes,Revenge、City、Superior and Inferior,复仇、城市、强弱逆袭,She Called Me a Homewrecker,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,155,ID 7639329845642499093,The Queen’s Revenge,女王的复仇,2026-05-14 11:59:51,30,5284586,1675,27.9,是 / Yes,Revenge、Royal Palace,复仇、皇宫,The Queen’s Revenge,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,156,ID 7634654852370486293,The Housekeeper Was the CEO’s Missing Wife,管家是总裁失踪的妻子,2026-05-01 09:58:27,29,1568391,1606,26.8,是 / Yes,Family & Ethics、Family Feud、Reconciliation,家庭与道德、家庭恩怨、和解,"After losing her memory, Ella becomes a housekeeper in a CEO’s mansion—never knowing she is his missing wife. As hidden rooms, old letters, and buried lies surface, she and Daniel uncover the conspiracy that stole her identity, marriage, and past.",,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,157,ID 7645818470919214101,The Gilded Scar： Silent Judgment,镀金伤疤：沉默的审判,2026-05-31 22:15:09,60,425272,3578,59.6,是 / Yes,Ensemble Cast、Revenge、City,群像、复仇、城市,The Gilded Scar： Silent Judgment,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,158,ID 7638319593451164693,Doctors-love,医者之爱,2026-05-11 03:56:42,38,4409080,2210,36.8,是 / Yes,Betrayal、Love After Marriage、Family Feud,背叛、婚后的爱情、家庭恩怨,Doctors-love,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,159,ID 7639357180482917396,Fairytale Villains Are My Employees Now,童话里的恶棍现在是我的员工,2026-05-14 19:40:12,20,775545,1123,18.7,是 / Yes,Revenge、Fantasy、Lost Child,复仇、奇幻、丢失的孩子,"Every fairytale villain just got fired — now a fearless boss babe runs the only company crazy enough to hire them, but taming Big Bad Wolves and wicked witches is nothing compared to the ancient evil that wants her throne.",,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,160,ID 7614087561056916510,"I Forgot He Cheated, But He Didn't",我忘记了他作弊，但他没有,2026-03-10 10:11:08,81,122734819,5025,83.8,是 / Yes,City、Love Life of Ordinary People、Childhood Sweethearts,城市、普通人的爱情生活、青梅竹马,"I Forgot He Cheated, But He Didn't",,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,161,ID 7644334394546836496,The Real Crown,真正的王冠,2026-05-27 16:02:28,30,493836,2033,33.9,是 / Yes,Mistaken Identities、Family Feud、Real/Fake Heir/Heiress,错误的身份、家庭恩怨、真/假继承人/女继承人,The Real Crown,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,162,ID 7644287639444755473,Wildfire,野火,2026-05-27 14:03:16,30,2546319,2410,40.2,是 / Yes,Childhood Sweethearts、Romantic Complications、City,青梅竹马、浪漫并发症、城市,Wildfire,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,163,ID 7643798069426803719,The Seventh Husband,第七任丈夫,2026-06-01 00:33:54,28,394452,1582,26.4,是 / Yes,City、Mystery、Mistaken Identities,城市、神秘、错误的身份,"Trapped in false memories, she fights to expose the truth.",,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,164,ID 7644416748963435540,Carrying His Baby While He Calls Me Trash,他骂我垃圾，却抱着他的孩子,2026-05-28 00:08:27,20,39776784,1780,29.7,是 / Yes,City、Revenge,城市、复仇,"Eight months pregnant, Sage catches her husband cheating with another pregnant woman who claims her baby is his — humiliated, cast out, and stripped of everything, she vows to claw back every piece of the life that was stolen from her.",,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,165,ID 7643221638498505749,The Human Pet Shop,人类宠物店,2026-05-25 04:24:09,21,19127166,1282,21.4,是 / Yes,Revenge、Fantasy、Master-Servant Love,复仇、奇幻、主仆之爱,"After aliens conquer Earth and turn humans into luxury pets, a brilliant medical prodigy is bought by a cold alien commander and must survive his twisted affection long enough to save her sister and ignite a human uprising.",,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,166,ID 7644488455623742482,How to Own a Demon,如何拥有恶魔,2026-05-28 06:25:28,31,2573467,1570,26.2,是 / Yes,Revenge、Contract Lovers、Fantasy,复仇、合约爱好者、奇幻,A girl signs a devil contract and counterattacks her vicious rivals.,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,167,ID 7643226112440685569,Pregnant and Powerful,怀孕且强大,2026-05-25 07:56:47,30,123296709,1673,27.9,是 / Yes,Family Feud,家庭恩怨,Pregnant and Powerful,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,168,ID 7640607715630781461,The Broke Mom's Billion-Dollar Secret,破产妈妈的十亿美元秘密,2026-05-18 13:44:20,21,26851268,1600,26.7,是 / Yes,Revenge、Family Feud,复仇、家庭恩怨,The Broke Mom's Billion-Dollar Secret,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,169,ID 7623836875917186069,"Farewell, My Swan",再见，我的天鹅,2026-04-12 10:19:40,30,923541,1876,31.3,是 / Yes,Redemption、Fantasy、Revenge,赎回、奇幻、复仇,"Farewell, My Swan, my love",,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,170,ID 7645792650578301968,My Caveman Husband Is a Secret Chief,我的穴居人丈夫是秘密酋长,2026-05-31 17:33:09,33,833930,1925,32.1,是 / Yes,Flipped、Revenge、End-of-the-World,翻转、复仇、世界末日,My Caveman Husband Is a Secret Chief,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,171,ID 7643241565339014145,My Lies Become Reality,我的谎言变成了现实,2026-05-25 15:05:54,31,405238,1665,27.8,是 / Yes,Family Feud、Romantic Complications,家庭恩怨、浪漫并发症,"Lies come true and backfire on life. Facing sincerity straightens reality with truth, and true love is gained in the end.",,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,172,ID 7645772444501873682,Only Kids Can See What Kills You,只有孩子才能看到什么会杀死你,2026-05-31 11:03:20,20,765270,1217,20.3,是 / Yes,Adventure、Fantasy、Ensemble Cast,冒险、奇幻、群像,"An 8-year-old girl begs her mom to believe the smiling creature in her closet is real—but adults can't see it, and every parent who refuses to believe becomes its next kill.",,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,173,ID 7638319560928023572,Fired Waitress Got the Power of Night,被解雇的女服务员获得了夜晚的力量,2026-05-11 02:01:54,20,369336,1416,23.6,是 / Yes,Revenge、Fantasy,复仇、奇幻,"A fired waitress screams at the full moon in the Arizona desert—and the moonlight rips her shadow alive, turning her into a dark warrior who devours the wicked every night, but each kill erases her happiest memory forever until she becomes the darkness itself.",,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,174,ID 7643778311252005909,Hollywood Blacklisted Me So I Burned It Down,好莱坞将我列入黑名单，所以我把它烧毁了,2026-05-26 11:13:43,27,5195182,2269,37.8,是 / Yes,Celebrity、Revenge,名人、复仇,"The most canceled woman in America discovers her downfall was an inside job — now she's back with proof, and every fake smile in Hollywood is about to crack.",,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,175,ID 7643088616889537537,Deep Sea Drown: Bone Scales,深海溺水者：骨鳞,2026-05-31 09:29:47,35,12396761,2534,42.2,是 / Yes,Redemption、Fantasy、Romantic Complications,赎回、奇幻、浪漫并发症,Deep Sea Drown: Bone Scales,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,176,ID 7639329973153600532,Hexing My Ex's Wedding,对我前任的婚礼施咒,2026-05-15 07:00:53,29,866869,1749,29.1,是 / Yes,Enemies to Lovers、Revenge、Fantasy,从敌人到恋人、复仇、奇幻,Hexing My Ex's Wedding,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,177,ID 7645865062166713364,Reborn to Rule,重生统治,2026-06-01 00:48:47,30,513188,2198,36.6,是 / Yes,Contract Lovers、Revenge、City,合约爱好者、复仇、城市,Reborn to Rule,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,178,ID 7642648681417774087,Bleeding Vows,流血的誓言,2026-05-23 11:45:46,33,11232554,1643,27.4,是 / Yes,Family Feud、Enemies to Lovers、Family Disputes,家庭恩怨、从敌人到恋人、家庭纠纷,Bleeding Vows,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,179,ID 7645787462249436181,My Bully Is My Mate,我的恶霸是我的伴侣,2026-05-31 15:25:20,45,12681200,3862,64.4,是 / Yes,Werewolf、Enemies to Lovers、Romantic Complications,狼人、从敌人到恋人、浪漫并发症,My Bully Is My Mate,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,180,ID 7643221516045456405,The Other Sister,另一个妹妹,2026-05-31 04:19:42,29,384377,1676,27.9,是 / Yes,Contract Lovers、Revenge、Family Feud,合约爱好者、复仇、家庭恩怨,The Other Sister,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,181,ID 7617375230859727902,I Married A Fake Beggar,我嫁给了一个假乞丐,2026-03-22 10:06:42,30,14278514,1984,33.1,是 / Yes,Contract Lovers、Family Feud、Revenge,合约爱好者、家庭恩怨、复仇,"I Married A Fake Beggar, Romance",,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,182,ID 7645787674711774228,Granny Got Drip,奶奶得了滴水,2026-05-31 14:58:26,30,347888,2261,37.7,是 / Yes,Business Competition、City、Lost Child,商业竞赛、城市、丢失的孩子,Granny Got Drip,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,183,ID 7639360750746145812,Shadow of the Serpent：Hearts United with Mirrorlight,蛇之影：镜光之心,2026-05-20 21:40:29,29,829722,1959,32.6,是 / Yes,Crime、Reconciliation、City,犯罪、和解、城市,Shadow of the Serpent：Hearts United with Mirrorlight,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,184,ID 7616412681675002910,Married to the Wall Street Devil,嫁给华尔街恶魔,2026-03-16 09:36:04,30,3752508,1741,29.0,是 / Yes,Contract Lovers、Family Feud、Revenge,合约爱好者、家庭恩怨、复仇,"Married to the Wall Street Devil, the Romance",,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,185,ID 7645808132135965697,MOM'S REVENGE KITCHEN,妈妈的复仇厨房,2026-05-31 21:29:32,50,1609780,2657,44.3,是 / Yes,Skill/Talent Competition、City、Lost Child,技能/才艺竞赛、城市、丢失的孩子,MOM'S REVENGE KITCHEN,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,186,ID 7643221141456360468,Checked In to Love: The Hotel Heir's Front Desk Bride,入住爱情：酒店继承人的前台新娘,2026-05-31 10:01:15,33,4708272,1988,33.1,是 / Yes,Superior and Inferior、Romantic Complications、Family Feud,强弱逆袭、浪漫并发症、家庭恩怨,Checked In to Love: The Hotel Heir's Front Desk Bride,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,187,ID 7638319539855348757,Pregnant Predator's Trap,怀孕掠夺者的陷阱,2026-05-11 03:20:21,29,23940614,1643,27.4,是 / Yes,Revenge、Superior and Inferior、Family Feud,复仇、强弱逆袭、家庭恩怨,Pregnant Predator's Trap,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,188,ID 7620479694239962142,Together Until the Last Bullet,一起直到最后一颗子弹,2026-05-29 22:42:40,45,12373685,2536,42.3,是 / Yes,End-of-the-World、Adventure、Ensemble Cast,世界末日、冒险、群像,"Together Until the Last Bullet, love and survive",,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,189,ID 7623427958463779871,My Racer Mechanic Boyfriend,我的赛车机械师男友,2026-04-05 20:27:43,31,26308629,1977,33.0,是 / Yes,Action、Celebrity、Flipped,行动、名人、翻转,My Racer Mechanic Boyfriend,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,190,ID 7643241528944612353,The House Hungers,房子的饥饿,2026-05-25 15:01:00,22,396665,1610,26.8,是 / Yes,Adventure、Family Feud、Ensemble Cast,冒险、家庭恩怨、群像,The House Hungers,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,191,ID 7618640143162954783,Rose Beneath the Butcher's Blade,屠夫刀下的玫瑰,2026-05-31 11:52:57,50,8848457,3321,55.4,是 / Yes,City、dark romance、Romantic Complications,城市、黑暗浪漫、浪漫并发症,"Rose Beneath the Butcher's Blade, fated lovers",,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,192,ID 7643221182602384405,The Scullery Queen：Secrets of the Hidden Fashion Mogul,餐具女王：隐藏的时尚大亨的秘密,2026-05-25 03:23:56,28,366000,2445,40.8,是 / Yes,Family Disputes、Family Feud,家庭纠纷、家庭恩怨,The Scullery Queen：Secrets of the Hidden Fashion Mogul,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,193,ID 7639357072492090388,The Sea God Fell In Love With A Mortal Girl,海神爱上凡间少女,2026-05-14 15:31:08,19,34078615,1121,18.7,是 / Yes,Fantasy、Romantic Complications,奇幻、浪漫并发症,"A fisherman's daughter saves a dying whale that transforms into the most powerful sea god alive — he becomes obsessed with her, but every kiss triggers catastrophic tsunamis, and the entire ocean kingdom wants her dead before she discovers the ancient power sleeping inside her blood.",,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,194,ID 7643251250338960404,Spilled Love,溢出的爱,2026-05-31 12:02:17,31,9631842,1561,26.0,是 / Yes,Family Feud、Contract Lovers、Family & Ethics,家庭恩怨、合约爱好者、家庭与道德,Poor intern falls in love with cold CEO and his cute son.,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,195,ID 7616401683437999134,Love Under the Barrel,桶下的爱,2026-05-02 09:09:08,45,1577780,2948,49.1,是 / Yes,Redemption、Family Feud、Revenge,赎回、家庭恩怨、复仇,"Love Under the Barrel, Romance",,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,196,ID 7635371112356402197,Offside Desire,越位欲望,2026-05-03 07:59:21,26,3093809,1318,22.0,是 / Yes,City、Enemies to Lovers、Revenge,城市、从敌人到恋人、复仇,Offside Desire,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,197,ID 7640583163651167252,The Beast Queen's Canvas,野兽女王的画布,2026-05-20 22:11:49,36,150906489,2729,45.5,是 / Yes,Fantasy、Love Triangle、Revenge,奇幻、三角恋、复仇,The Beast Queen's Canvas,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,198,ID 7639357329057747988,Viper's Vengeful Heart,毒蛇的复仇之心,2026-05-15 23:00:48,30,1814638,1535,25.6,是 / Yes,Reconciliation、City、Revenge,和解、城市、复仇,Viper's Vengeful Heart,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,199,ID 7643288098696696852,30 Days to Say Goodbye,30 天说再见,2026-05-25 22:43:38,20,2019067,1570,26.2,是 / Yes,Romantic Complications、City、Love Triangle,浪漫并发症、城市、三角恋,30 Days to Say Goodbye,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,200,ID 7643257027971683336,His Forbidden Rider,他的禁忌骑士,2026-05-25 21:17:58,50,450993,3162,52.7,是 / Yes,City、Romantic Complications、Mistaken Identities,城市、浪漫并发症、错误的身份,His Forbidden Rider,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,201,ID 7600359684226290718,CHIMERA,奇美拉,2026-01-29 13:55:07,5,5461054,370,6.2,是 / Yes,dark romance、Revenge、Fantasy,黑暗浪漫、复仇、奇幻,"After a brutal betrayal, a programmer creates the perfect AI lover—only to learn that perfect love can be the cruelest prison.",,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,202,ID 7604526773237306398,Credits to Love,爱的积分,2026-02-12 20:03:50,20,7504612,1667,27.8,是 / Yes,Love Triangle、Celebrity、Revenge,三角恋、名人、复仇,No one can steal her talent and credits to love.,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,203,ID 7576938571173499935,The Show,演出,2025-11-26 20:55:12,5,15952265,341,5.7,是 / Yes,Fantasy、Political Intrigue、Love Triangle,奇幻、政治阴谋、三角恋,A reality show about life and death.,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,204,ID 7562192431857488910,Second Chance with My Billionaire Husband,与我的亿万富翁丈夫的第二次机会,2025-10-17 23:03:47,7,20576601,971,16.2,是 / Yes,Family Feud、Love After Marriage、Love After Divorce,家庭恩怨、婚后的爱情、离婚后的爱情,Can a fake marriage spark a real second chance?,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,205,ID 7550301718165099533,Defective Heart,有缺陷的心脏,2025-09-15 22:09:34,1,7878975,81,1.4,是 / Yes,Romantic Complications、Fantasy、Master-Servant Love,浪漫并发症、奇幻、主仆之爱,Defective Heart：He made his master's sexy robot cry.,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,206,ID 7574306493973943327,The Queen's Revenge Game,女王的复仇游戏,2025-11-19 19:21:09,5,46250128,377,6.3,是 / Yes,Contract Lovers、Revenge、Family Feud,合约爱好者、复仇、家庭恩怨,"A contract marriage, a fake death, and the most shocking wedding crash in history.",,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,207,ID 7606155775295149087,Forbidden Lovers,禁忌恋人,2026-02-20 09:33:53,29,66179480,1602,26.7,是 / Yes,Family Feud、Love After Divorce、Love After Marriage,家庭恩怨、离婚后的爱情、婚后的爱情,Forced into a marriage with fated lovers,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
aidramalabs_pulse0,Shape of Desire,Shape of Desire,208,ID 7581727994071536670,"My CEO, My Property",我的首席执行官，我的财产,2025-12-09 19:16:59,5,1579446,333,5.5,是 / Yes,Revenge、Fantasy,复仇、奇幻,The mighty CEO is my pet.,,否 / No,https://www.tiktok.com/@aidramalabs_pulse0
